study_idx,cites,doi,emp_study_num,title,year
41,2,10.3389/fmicb.2014.00515,1035,The ecological dichotomy of ammonia-oxidizing archaea and bacteria in the hyper-arid soils of the Antarctic Dry Valleys,2014
42,64,10.1038/ismej.2011.163*,1036,Microbes in thawing permafrost: the unknown variable in the climate change equation,2012
44,28,10.1111/j.1758-2229.2011.00290.x*,1038,Bacterial and archaeal amoA gene distribution covaries with soil nitrification properties across a range of land uses,2011
48,66,10.1111/mec.12501,1056,Convergence of gut microbiomes in myrmecophagous mammals,2014
51,111,10.1038/ismej.2013.254,1197,Metagenomics reveals sediment microbial community response to Deepwater Horizon oil spill,2014
52,0,10.1007/s00248-017-1028-5,1198,Metagenomic Analysis of Subtidal Sediments from Polar and Subpolar Coastal Environments Highlights the Relevance of Anaerobic Hydrocarbon Degradation  …,2017
53,34,10.5194/bg-10-555-2013,1222,Ocean acidification shows negligible impacts on high-latitude bacterial community structure in coastal pelagic mesocosms,2013
54,34,10.5194/bg-10-555-2013,1235,Ocean acidification shows negligible impacts on high-latitude bacterial community structure in coastal pelagic mesocosms,2013
55,377,10.1038/ismej.2011.107,1240,Defining seasonal marine microbial community dynamics,2012
56,36,10.1038/ismej.2012.118,1242,"A decade of seasonal dynamics and co-occurrences within freshwater bacterioplankton communities from eutrophic Lake Mendota, WI, USA",2013
59,3,10.1016/j.gecco.2016.06.004,1453,Using the gut microbiota as a novel tool for examining colobine primate GI health,2016
60,52,10.3945/ajcn.114.088120,1481,Whole-grain wheat consumption reduces inflammation in a randomized controlled trial on overweight and obese subjects with unhealthy dietary and lifestyle  …,2015
63,10,10.1111/1758-2229.12301,1578,Changes in microbial communities along redox gradients in polygonized Arctic wet tundra soils,2015
68,150,10.1111/j.1462-2920.2012.02799.x,1627,Geographic distance and pH drive bacterial distribution in alkaline lake sediments across Tibetan Plateau,2012
69,25,10.1111/j.1474-919X.2012.01256.x*,1632,Avian life history traits influence eggshell bacterial loads: a comparative analysis,2012
71,19,10.1371/journal.pone.0090785*,1665,Humpback whale populations share a core skin bacterial community: towards a health index for marine mammals?,2014
73,9,10.1038/ismej.2015.152,1674,Urban stress is associated with variation in microbial species composition—but not richness—in Manhattan,2016
74,4,10.3390/min3030318,1692,Potentiostatically poised electrodes mimic iron oxide and interact with soil microbial communities to alter the biogeochemistry of Arctic peat soils,2013
76,32,10.1016/j.mimet.2015.03.021,1696,Sample storage conditions significantly influence faecal microbiome profiles,2015
76,3,10.1016/j.gecco.2016.06.004,1696,Using the gut microbiota as a novel tool for examining colobine primate GI health,2016
77,174,10.1016/j.soilbio.2012.07.013,1702,Soil pH drives the spatial distribution of bacterial communities along elevation on Changbai Mountain,2013
78,14,10.1111/1365-2664.12416,1711,Agricultural intensification and the functional capacity of soil microbes on smallholder African farms,2015
80,16,10.1007/s00248-014-0468-4,1714,Responses of soil fungi to logging and oil palm agriculture in Southeast Asian tropical forests,2015
82,62,10.1007/s00248-011-9973-x*,1716,Fungal community composition in neotropical rain forests: the influence of tree diversity and precipitation,2012
83,14,10.1111/1365-2664.12416,1717,Agricultural intensification and the functional capacity of soil microbes on smallholder African farms,2015
84,44,10.1016/j.agee.2014.04.006,1721,Comparative analysis of the microbial communities in agricultural soil amended with enhanced biochars or traditional fertilisers,2014
87,3,10.1128/mSystems.00046-16,1747,The Oral and Skin Microbiomes of Captive Komodo Dragons Are Significantly Shared with Their Habitat,2016
91,142,10.1016/B978-0-12-407863-5.00019-8,1795,Advancing our understanding of the human microbiome using QIIME,2013
93,88,10.1038/ismej.2012.9,1883,Microbial diversity in arctic freshwaters is structured by inoculation of microbes from soils,2012
95,32,10.1016/j.mimet.2015.03.021,2182,Sample storage conditions significantly influence faecal microbiome profiles,2015
95,7,10.1016/j.mimet.2016.09.017,2182,Effects of field conditions on fecal microbiota,2016
95,3,10.1016/j.gecco.2016.06.004,2182,Using the gut microbiota as a novel tool for examining colobine primate GI health,2016
96,208,10.1126/science.1254529,2192,Longitudinal analysis of microbial interaction between humans and the indoor environment,2014
97,12,10.1111/1462-2920.12972,2229,"Continental‐scale variation in seaweed host‐associated bacterial communities is a function of host condition, not geography",2015
101,73,10.1128/mBio.02527-14,2382,The soil microbiome influences grapevine-associated microbiota,2015
105,0,10.1126/scitranslmed.aah6500,10172,Bacterial colonization and succession in a newly opened hospital,2017
109,2,10.1186/s10152-016-0464-9*,10247,Spatiotemporal variation of the bacterioplankton community in the German Bight: from estuarine to offshore regions,2016
110,0,10.1101/090225,10248,Seasonal succession influences the functioning of a host-associated microbial food web,2016
116,41,10.1038/ncomms11870,10346,"Diversity, structure and convergent evolution of the global sponge microbiome",2016
117,26,10.3389/fpls.2015.00113,10363,Selenium hyperaccumulators harbor a diverse endophytic bacterial community characterized by high selenium resistance and plant growth promoting  …,2015
118,4,10.1098/rsbl.2016.0352,10522,"Stress response, gut microbial diversity and sexual signals correlate with social interactions",2016
119,41,10.1038/ncomms11870,10533,"Diversity, structure and convergent evolution of the global sponge microbiome",2016
122,2,10.3389/fmicb.2017.00175*,10809,Diversity and distribution of freshwater aerobic anoxygenic phototrophic bacteria across a wide latitudinal gradient,2017
